Species,Weight,Length1,Length2,Length3,Height,Width,price
Bream,242,23.2,25.4,30,11.52,4.02,912.0728514
Bream,290,24,26.3,31.2,12.48,4.3056,559.3721875
Bream,340,23.9,26.5,31.1,12.3778,4.6961,331.9199091
Bream,363,26.3,29,33.5,12.73,4.4555,410.7609299
Bream,430,26.5,29,34,12.444,5.134,956.5145822
Bream,450,26.8,29.7,34.7,13.6024,4.9274,965.4581962
Bream,500,26.8,29.7,34.5,14.1795,5.2785,746.3332271
Bream,390,27.6,30,35,12.67,4.69,509.8734604
Bream,450,27.6,30,35.1,14.0049,4.8438,1023.773056
Bream,500,28.5,30.7,36.2,14.2266,4.9594,667.5700352
Bream,475,28.4,31,36.2,14.2628,5.1042,381.2302101
Bream,500,28.7,31,36.2,14.3714,4.8146,442.0793903
Bream,500,29.1,31.5,36.4,13.7592,4.368,424.5618214
Bream,340,29.5,32,37.3,13.9129,5.0728,977.672253
Bream,600,29.4,32,37.2,14.9544,5.1708,313.8292465
Bream,600,29.4,32,37.2,15.438,5.58,993.3531388
Bream,700,30.4,33,38.3,14.8604,5.2854,617.2775325
Bream,700,30.4,33,38.5,14.938,5.1975,1001.643146
Bream,610,30.9,33.5,38.6,15.633,5.1338,447.4157299
Bream,650,31,33.5,38.7,14.4738,5.7276,885.8966725
Bream,575,31.3,34,39.5,15.1285,5.5695,895.7358447
Bream,685,31.4,34,39.2,15.9936,5.3704,730.1843979
Bream,620,31.5,34.5,39.7,15.5227,5.2801,1003.051745
Bream,680,31.8,35,40.6,15.4686,6.1306,553.5625627
Bream,700,31.9,35,40.5,16.2405,5.589,496.4678832
Bream,725,31.8,35,40.9,16.36,6.0532,594.1945181
Bream,720,32,35,40.6,16.3618,6.09,776.2616308
Bream,714,32.7,36,41.5,16.517,5.8515,420.9747246
Bream,850,32.8,36,41.6,16.8896,6.1984,705.6291453
Bream,1000,33.5,37,42.6,18.957,6.603,926.4919988
Bream,920,35,38.5,44.1,18.0369,6.3063,1051.500641
Bream,955,35,38.5,44,18.084,6.292,925.8027666
Bream,925,36.2,39.5,45.3,18.7542,6.7497,540.3643942
Bream,975,37.4,41,45.9,18.6354,6.7473,1058.816071
Bream,950,38,41,46.5,17.6235,6.3705,431.2688301
